frame,timestamp,robot_detected,robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,robot_px,robot_py,num_anchors,anchors_detected,num_detections,anchor_11_x_median,anchor_11_y_median,anchor_12_x_median,anchor_12_y_median,anchor_13_x_median,anchor_13_y_median,anchor_14_x_median,anchor_14_y_median
66,2.1996,1,-0.068044,-0.026346,1.266994,-3.01,-2.53,1.82,1785.31,1009.34,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
67,2.2329,1,-0.065483,-0.026270,1.262751,-5.33,-1.22,4.59,1789.98,1009.29,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
68,2.2662,1,-0.062185,-0.026087,1.263549,-4.84,1.43,8.29,1796.63,1009.68,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
69,2.2995,1,-0.058101,-0.025284,1.266722,3.00,-0.40,13.44,1805.10,1011.46,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
70,2.3329,1,-0.053206,-0.023904,1.268735,-0.33,-1.57,18.85,1815.03,1014.28,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
71,2.3662,1,-0.047473,-0.021728,1.260033,-5.11,-9.66,24.81,1825.87,1018.29,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
72,2.3995,1,-0.042230,-0.018806,1.266508,-4.37,-4.17,30.77,1836.72,1024.35,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
73,2.4328,1,-0.036923,-0.015075,1.262504,-7.48,-5.37,37.01,1847.09,1031.68,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
74,2.4662,1,-0.032466,-0.010615,1.267644,-5.15,-0.29,42.67,1856.25,1040.70,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
75,2.4995,1,-0.028192,-0.005544,1.260751,-5.79,-9.76,48.58,1864.56,1050.79,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
76,2.5328,1,-0.025440,-0.000343,1.269498,-3.58,-2.93,53.17,1870.30,1061.19,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
77,2.5661,1,-0.021788,0.010688,1.262646,0.47,-9.33,60.81,1877.35,1083.33,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
78,2.5995,1,-0.021410,0.015973,1.270062,-2.95,-1.68,63.27,1878.33,1093.64,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
79,2.6328,1,-0.021610,0.020808,1.264781,-6.99,-6.00,65.38,1877.80,1103.44,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
80,2.6661,1,-0.021612,0.020817,1.265281,-6.55,-6.29,65.38,1877.81,1103.45,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
81,2.6995,1,-0.022531,0.025269,1.270678,-1.49,-3.24,65.16,1876.13,1112.10,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
82,2.7328,1,-0.023803,0.029207,1.268818,2.03,-3.29,64.61,1873.51,1120.04,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
83,2.7661,1,-0.025520,0.031773,1.266487,0.22,-4.24,63.25,1870.02,1125.25,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
84,2.7994,1,-0.028851,0.033136,1.263297,1.34,-5.66,57.20,1863.24,1128.17,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
85,2.8328,1,-0.029773,0.031585,1.266815,-2.55,-2.40,53.76,1861.68,1125.01,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
86,2.8661,1,-0.029592,0.031482,1.260298,-5.92,-6.81,54.16,1861.64,1125.01,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
87,2.8994,1,-0.029499,0.027527,1.260189,1.07,-5.48,50.34,1861.80,1117.08,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
88,2.9327,1,-0.027798,0.021443,1.261025,0.21,-4.71,46.75,1865.24,1104.85,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
89,2.9661,1,-0.025042,0.013430,1.258284,-7.57,-3.09,43.35,1870.66,1088.82,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
90,2.9994,1,-0.021359,0.004082,1.261060,3.37,2.12,39.71,1878.13,1070.06,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
91,3.0327,1,-0.016715,-0.006193,1.263305,-4.27,-1.41,37.43,1887.49,1049.48,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
92,3.0660,1,-0.011638,-0.016929,1.261344,-5.62,-6.01,35.99,1897.63,1027.93,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
